,0,1,2,3,4,5,6,7
londres,0.123,0.386,0.49,0.518,0.745,0.776,0.787,0.898
côté,0.348,0.526,0.658,0.761,0.673,0.697,0.796,0.898
tant,0.781,0.627,0.841,0.822,0.723,0.721,0.888,0.954
bank,0.907,0.525,0.561,0.596,0.721,0.848,0.814,0.898
vue,0.462,0.681,0.578,0.642,0.588,0.733,0.787,0.904
hausse,0.811,0.696,0.484,0.499,0.665,0.852,0.897,0.903
ur,0.364,0.274,0.263,0.294,0.438,0.614,0.796,0.898
directeur,0.785,0.442,0.53,0.573,0.572,0.718,0.787,0.938
moment,0.227,0.496,0.506,0.468,0.557,0.681,0.843,0.914
seul,0.232,0.292,0.542,0.6,0.754,0.719,0.881,0.908
association,0.786,0.667,0.825,0.767,0.74,0.916,0.977,0.898
petit,0.451,0.308,0.507,0.536,0.631,0.729,0.788,0.902
vient,0.6,0.605,0.889,0.748,0.874,0.939,0.956,0.898
livre,0.676,0.437,0.766,0.779,0.757,0.816,0.824,0.898
ordre,0.566,0.558,0.365,0.321,0.36,0.707,0.853,0.898
direction,0.895,0.861,0.969,0.986,0.965,0.879,0.937,0.898
quant,0.779,0.859,0.929,0.862,0.977,0.988,0.978,0.99
face,0.572,0.539,0.648,0.836,0.818,0.935,0.836,0.898
parmi,0.677,0.58,0.477,0.729,0.693,0.737,0.905,0.94
eux,0.342,0.262,0.352,0.464,0.562,0.673,0.82,0.898
autant,0.786,0.566,0.875,0.939,0.788,0.881,0.922,0.901
économie,0.671,0.446,0.451,0.606,0.574,0.674,0.82,0.898
souvent,0.562,0.461,0.746,0.796,0.798,0.696,0.816,0.898
décembre,0.67,0.587,0.555,0.55,0.825,0.976,0.982,0.898
prendre,0.572,0.595,0.499,0.716,0.675,0.793,0.79,0.898
cs,0.895,0.879,0.73,0.919,0.881,0.951,0.976,0.898
mis,0.353,0.518,0.561,0.856,0.713,0.792,0.822,0.912
exposition,0.415,0.319,0.522,0.578,0.668,0.872,0.81,0.898
mort,0.403,0.294,0.559,0.504,0.668,0.799,0.866,0.975
informations,0.562,0.434,0.496,0.574,0.438,0.588,0.764,0.898
actuellement,0.781,0.479,0.61,0.656,0.662,0.694,0.865,0.989
mme,0.342,0.262,0.344,0.483,0.631,0.764,0.837,0.898
grands,0.669,0.343,0.438,0.597,0.758,0.706,0.787,0.918
octobre,0.341,0.398,0.62,0.559,0.834,0.872,0.863,0.898
six,0.233,0.237,0.429,0.545,0.659,0.696,0.85,0.898
toutefois,0.672,0.52,0.749,0.757,0.662,0.715,0.922,0.898
quand,0.123,0.264,0.365,0.505,0.69,0.751,0.787,0.904
janvier,0.455,0.759,0.65,0.838,0.96,0.942,0.87,0.898
comité,0.239,0.711,0.668,0.73,0.638,0.783,0.814,0.898
banques,0.235,0.239,0.356,0.424,0.536,0.656,0.787,0.907
septembre,0.354,0.6,0.694,0.805,0.953,0.989,0.946,0.923
sud,0.256,0.252,0.355,0.46,0.56,0.672,0.833,0.9
industrie,0.342,0.266,0.346,0.481,0.578,0.719,0.801,0.902
entrée,0.567,0.505,0.7,0.656,0.732,0.874,0.787,0.898
assemblée,0.56,0.355,0.365,0.474,0.576,0.748,0.817,0.898
mieux,0.292,0.359,0.377,0.52,0.507,0.645,0.82,0.898
titre,0.685,0.458,0.482,0.784,0.68,0.872,0.923,0.898
décision,0.237,0.423,0.655,0.679,0.786,0.953,0.873,0.907
gen,0.233,0.237,0.459,0.54,0.592,0.699,0.873,0.898
production,0.817,0.481,0.393,0.62,0.707,0.823,0.875,0.94
