,0,1,2,3,4,5,6,7
centre,0.873,0.776,0.906,0.945,0.954,0.842,0.945,0.881
elles,0.873,0.943,0.987,0.992,0.948,0.782,0.832,0.881
ministre,0.873,0.653,0.494,0.381,0.543,0.595,0.666,0.881
devant,0.873,0.972,0.918,0.792,0.761,0.9,0.934,0.649
mercredi,0.873,0.895,0.723,0.871,0.576,0.562,0.638,0.766
eu,0.765,0.974,0.978,0.965,0.961,0.986,0.982,0.855
car,0.352,0.086,0.013,0.094,0.152,0.365,0.732,0.65
lors,0.571,0.833,0.982,0.978,0.998,0.986,0.944,0.881
rapport,0.394,0.425,0.394,0.791,0.9,0.607,0.399,0.782
afp,0.108,0.012,0.048,0.027,0.017,0.01,0.0,0.0
théâtre,0.883,0.722,0.73,0.893,0.989,0.957,0.84,0.901
x,0.212,0.307,0.157,0.333,0.467,0.428,0.766,0.928
an,0.913,0.473,0.579,0.67,0.847,0.867,0.934,0.881
vers,0.873,0.86,0.934,0.886,0.965,0.741,0.743,0.834
là,0.762,0.708,0.543,0.333,0.396,0.26,0.678,0.881
ailleurs,0.873,0.829,0.772,0.776,0.476,0.22,0.277,0.436
notamment,0.797,0.974,0.987,0.98,0.99,0.885,0.713,0.45
situation,0.905,0.977,0.992,0.992,0.999,0.995,0.971,0.942
celui,0.667,0.913,0.991,0.992,0.993,0.985,0.94,0.904
compte,0.734,0.596,0.831,0.875,0.514,0.291,0.357,0.667
k,0.448,0.615,0.659,0.523,0.931,0.93,0.967,0.766
dm,0.873,0.992,0.974,0.992,0.993,0.99,0.97,0.881
série,0.12,0.189,0.157,0.28,0.293,0.071,0.176,0.049
berne,0.5,0.761,0.532,0.462,0.498,0.271,0.682,0.881
film,0.921,0.972,0.799,0.679,0.784,0.864,0.688,0.662
nombre,0.762,0.634,0.166,0.161,0.236,0.127,0.046,0.356
ici,0.12,0.294,0.283,0.603,0.721,0.844,0.939,0.92
suite,0.31,0.321,0.16,0.018,0.002,0.009,0.11,0.131
avaient,0.332,0.177,0.3,0.325,0.737,0.873,0.964,0.881
ceux,0.667,0.912,0.991,0.992,0.939,0.842,0.756,0.667
trop,0.43,0.476,0.333,0.498,0.796,0.871,0.968,0.949
quelque,0.873,0.937,0.987,0.992,0.961,0.932,0.873,0.881
étaient,0.234,0.421,0.628,0.616,0.189,0.026,0.001,0.0
semaine,0.873,0.972,0.687,0.673,0.515,0.696,0.845,0.881
ii,0.211,0.139,0.026,0.133,0.22,0.37,0.366,0.799
ats,0.873,0.942,0.881,0.704,0.685,0.73,0.252,0.104
chez,0.344,0.657,0.753,0.903,0.977,0.96,0.837,0.881
commission,0.204,0.03,0.057,0.043,0.0,0.012,0.0,0.0
enfants,0.211,0.469,0.137,0.278,0.707,0.791,0.765,0.764
personnes,0.802,0.973,0.987,0.976,0.962,0.985,0.964,0.936
seront,0.535,0.285,0.053,0.334,0.263,0.227,0.464,0.65
dernière,0.0,0.088,0.031,0.102,0.32,0.364,0.45,0.777
va,0.0,0.0,0.062,0.069,0.151,0.462,0.499,0.331
chaque,0.502,0.585,0.663,0.989,0.894,0.653,0.508,0.565
question,0.108,0.008,0.047,0.089,0.271,0.111,0.17,0.564
tour,0.777,0.708,0.809,0.855,0.963,0.996,0.973,0.881
près,0.661,0.665,0.551,0.885,0.965,0.985,0.978,0.935
